**TRADACOMS CODE LISTS Issue 8 - File edited 03-04-2018 - Data from Dec 2017 - includes Version Number see code list 207**
**Field Names: Format|Codelist Number|Codelist Name|Blank|Blank|Code Number|Code Name|Blank|Codelist Issue Number|**
Tradacoms|01|PRCD|||A|urgent||8|
Tradacoms|01|PRCD|||B|normal||8|
Tradacoms|01|PRCD|||C|low||8|
Tradacoms|02|TCDE|||0400|cancelled orders||8|
Tradacoms|02|TCDE|||0430|new orders||8|
Tradacoms|02|TCDE|||0445|order chasers||8|
Tradacoms|02|TCDE|||0350|provisional order||8|
Tradacoms|02|TCDE|||0355|orders for goods on approval/inspection||8|
Tradacoms|02|TCDE|||0420|standing orders||8|
Tradacoms|02|TCDE|||0435|orders for retained approval goods||8|
Tradacoms|02|TCDE|||0460|order confirmation (responding to a quotation message) in which quantities may be reduced or items deleted||9|
Tradacoms|02|TCDE|||0465|order confirmation (responding to a quotation message) in which order items and quantities must not be changed||9|
Tradacoms|02|TCDE|||3120|acknowledgement including of availability for all lines||8|
Tradacoms|02|TCDE|||3145|acknowledgement of order which cannot be supplied because of a query on the customers account||8|
Tradacoms|02|TCDE|||3150|message referring to outstanding orders and changing details which have previously been advised, eg price, availability date. All details, including those which have not changed, must be shown for each changed line.||8|
Tradacoms|02|TCDE|||3170|confirmation of acceptance of an order cancellation.||8|
Tradacoms|02|TCDE|||0600|delivery  notification of delivery against an order, containing (in normal TRADACOMS practice) details of all the lines on the order. In book trade practice, code 600 is used for all delivery notifications, regardless of whether they carry all lines from the order(s) concerned.||8|
Tradacoms|02|TCDE|||0650|balance  used to notify details of a part delivery. Not recommended for book trade use, but may be used by suppliers in other industries.||8|
Tradacoms|02|TCDE|||0700|invoices only||8|
Tradacoms|02|TCDE|||0709|copy invoice  not for VAT purposes||8|
Tradacoms|02|TCDE|||0711|provisional invoice  not for VAT purposes||8|
Tradacoms|02|TCDE|||0720|debit notes only  customer to supplier||8|
Tradacoms|02|TCDE|||0740|credit notes only  supplier to customer||8|
Tradacoms|02|TCDE|||0749|copy credit note  not for VAT purposes||8|
Tradacoms|02|TCDE|||0820|statement details only||8|
Tradacoms|02|TCDE|||0830|remittance details only||8|
Tradacoms|02|TCDE|||9020|complete replacement price/availability file||8|
Tradacoms|02|TCDE|||9021|price/availability updates only||8|
Tradacoms|04|DELQ|||G|grams||8|
Tradacoms|04|DELQ|||KG|kilograms||8|
Tradacoms|05|PIND|||E|export price||8|
Tradacoms|05|PIND|||F|free of charge||8|
Tradacoms|05|PIND|||P|promotional price. Used in Orders to indicate that the price quoted by the customer is a promotional price, eg a pre-publication or other limited period price. This usage should not be confused with specific promotional deals agreed between trading partners and identified in the order by a promotion reference in SCRF.||8|
Tradacoms|06|CLAS|||C|campaign||8|
Tradacoms|06|CLAS|||E|easter||8|
Tradacoms|06|CLAS|||N|new release||8|
Tradacoms|06|CLAS|||R|request (special customer order for item not usually stocked)||8|
Tradacoms|06|CLAS|||S|stock replenishment||8|
Tradacoms|06|CLAS|||X|christmas||8|
Tradacoms|08|TFIN|||T|to follow (record dues)||8|
Tradacoms|08|TFIN|||N|not to follow (do not record dues)||8|
Tradacoms|10|IGPI|||G|group||8|
Tradacoms|10|IGPI|||I|item||8|
Tradacoms|12|VATC|||S|standard rate||8|
Tradacoms|12|VATC|||T|standard rated free goods, VAT charged||8|
Tradacoms|12|VATC|||V|standard rated free goods, VAT not charged||8|
Tradacoms|12|VATC|||Z|zero rate||8|
Tradacoms|12|VATC|||X|exemption from VAT||8|
Tradacoms|12|VATC|||H|higher rate||8|
Tradacoms|12|VATC|||J|higher rated free goods, VAT charged||8|
Tradacoms|12|VATC|||K|higher rated free goods, VAT not charged||8|
Tradacoms|12|VATC|||E|export item||8|
Tradacoms|12|VATC|||F|free export item, VAT charged||8|
Tradacoms|12|VATC|||G|free export item, VAT not charged||8|
Tradacoms|12|VATC|||O|services outside the scope of VAT||8|
Tradacoms|12|VATC|||A|mixed VAT rate item||8|
Tradacoms|12|VATC|||R|reconciliation  Invoice raised for VAT only||8|
Tradacoms|12|VATC|||N|input tax paid but not reclaimable||8|
Tradacoms|12|VATC|||L|lower rate||8|
Tradacoms|13|CRRE|||01|excess quantity ordered||8|
Tradacoms|13|CRRE|||02|order duplicated||8|
Tradacoms|13|CRRE|||03|product ordered in error||8|
Tradacoms|13|CRRE|||04|product not approved||8|
Tradacoms|13|CRRE|||05|substitute product not accepted||8|
Tradacoms|13|CRRE|||06|delivery instruction error||8|
Tradacoms|13|CRRE|||07|delivery address error||8|
Tradacoms|13|CRRE|||08|damage in transit||8|
Tradacoms|13|CRRE|||09|loss in transit||8|
Tradacoms|13|CRRE|||8|delivery refused  appointment||8|
Tradacoms|13|CRRE|||11|delivery refused  late||8|
Tradacoms|13|CRRE|||12|delivery refused  other reasons||8|
Tradacoms|13|CRRE|||13|split order deliveries not accepted||8|
Tradacoms|13|CRRE|||14|promotional discount error||8|
Tradacoms|13|CRRE|||15|settlement discount error||8|
Tradacoms|13|CRRE|||16|trade discount error Use for discount adjustment||8|
Tradacoms|13|CRRE|||17|trade price error Use for price adjustment||8|
Tradacoms|13|CRRE|||18|VAT rate error||8|
Tradacoms|13|CRRE|||19|extension error||8|
Tradacoms|13|CRRE|||20|damage on premises||8|
Tradacoms|13|CRRE|||21|out of date||8|
Tradacoms|13|CRRE|||22|surplus to requirements Use for general overstock returns, including collected by rep, and title page returns||8|
Tradacoms|13|CRRE|||23|sale or return Use for see safe||8|
Tradacoms|13|CRRE|||24|superseded product||8|
Tradacoms|13|CRRE|||25|deteriorated product||8|
Tradacoms|13|CRRE|||26|advertising allowance||8|
Tradacoms|13|CRRE|||27|promotion allowance Use for book adopted  when an invoiced||8|
Tradacoms|13|CRRE|||28|rebate||8|
Tradacoms|13|CRRE|||29|retrospective discount Use for discount applied retrospectively, eg based on a specified total order value||8|
Tradacoms|13|CRRE|||30|coupon redemption Use for credit raised at the end of a period for returned promotional coupons||8|
Tradacoms|13|CRRE|||31|returnable containers||8|
Tradacoms|13|CRRE|||32|goods used for demonstrations||8|
Tradacoms|13|CRRE|||33|free goods charged in error||8|
Tradacoms|13|CRRE|||34|agreed settlement||8|
Tradacoms|13|CRRE|||35|equipment rental||8|
Tradacoms|13|CRRE|||36|concession||8|
Tradacoms|13|CRRE|||37|third party delivery||8|
Tradacoms|13|CRRE|||38|short delivery||8|
Tradacoms|13|CRRE|||39|incorrect product delivered Use for supplied in error||8|
Tradacoms|13|CRRE|||40|non-delivery Use for returned not known; delivery error||8|
Tradacoms|13|CRRE|||41|wrong account||8|
Tradacoms|13|CRRE|||42|order cancellation Use for customer cancelled order||8|
